Repository,Is Fork,Last Updated,ASN1C Source Last Updated,Status,Abandonment Date,Stars,Forks
jks-prv/KiwiSDR,False,2025-01-21 21:55:52+00:00,,Active,,61,0
tiran/kkdcpasn1,False,2017-07-19 15:30:48+00:00,2016-12-07 13:35:06+00:00,Abandoned,,4,0
ip-gpu/KomodoOcean,False,2022-10-17 17:31:31+00:00,2018-04-20 18:09:43+00:00,Abandoned,2022-10-17 17:31:31+00:00,10,0
user4223/ticket-decoder,False,2025-01-01 19:20:10+00:00,,Active,,31,0
TOPAS-Specs/TOPAS-2545,False,2023-10-11 10:02:16+00:00,2023-03-29 14:57:09+00:00,Active,,3,0
ChunguscoinCrypto/Chunguscoin,False,2022-04-21 22:44:18+00:00,2021-06-09 23:28:22+00:00,Abandoned,2022-04-21 22:44:18+00:00,8,0
cinvestavcs-mexicocity/MQCrypto,False,2017-08-27 17:51:57+00:00,,Abandoned,,2,0
melgmry0101b/eps2003csp11-interface,False,2023-09-16 07:52:31+00:00,2022-12-02 21:51:08+00:00,ActiveLessThan10CommitsThisYear,,7,0
pbcllc/sfusd-core,False,2022-06-20 07:34:54+00:00,2020-11-22 15:17:51+00:00,Abandoned,2022-06-20 07:34:54+00:00,2,0
flydog-sdr/FlyDog_SDR_GPS,False,2024-02-11 16:04:31+00:00,,Active,,29,0
august-alt/libcng-dpapi,False,2024-11-06 17:43:02+00:00,2024-05-22 08:00:51+00:00,YoungRepo,,0,0
SteveTickle/asn1c,False,2017-05-12 19:23:06+00:00,2006-09-13 04:02:00+00:00,Abandoned,,1,0
qingcheng12/UPER,False,2018-08-14 12:10:27+00:00,,Abandoned,,1,0
RussianCats/iec61850_goose_sv_mms,False,2024-02-08 18:23:43+00:00,2024-02-08 18:23:43+00:00,YoungRepo,,1,0
p-r-m-n/esp32-61850-socket,False,2024-06-11 14:38:22+00:00,2024-01-18 13:23:43+00:00,Active,,2,0
usdot-fhwa-stol/mmitss,False,2024-12-09 13:20:16+00:00,,Active,,2,0
NBT-Analytics/Biosig,False,2014-10-01 18:39:29+00:00,2010-01-04 12:06:02+00:00,Abandoned,,1,0
smartgridadsc/CyberRange,False,2023-06-25 09:23:28+00:00,2023-06-16 07:42:14+00:00,Active,,3,0
copslock/snoopsnitch,False,2020-05-10 17:33:37+00:00,2014-09-23 09:29:05+00:00,Abandoned,,1,0
praveen-emsec/Gridpot,False,2023-05-24 11:49:46+00:00,2015-03-11 11:01:49+00:00,Active,,2,0
zgbgit/LTE-CELL-RRC-ANALYSIS,False,2018-04-09 06:21:50+00:00,2018-04-09 06:21:50+00:00,Abandoned,,0,0
even-cheng/IPACatcher,False,2023-08-30 01:39:20+00:00,,YoungRepo,,3,0
sanjayankur31/biosig-code,False,2018-11-14 21:01:34+00:00,2010-01-04 12:06:02+00:00,Abandoned,,1,0
g04157017/ads8867,False,2024-02-29 07:25:51+00:00,2023-12-27 03:18:43+00:00,Active,,0,0
Andreaierardi/MMS-protocol-attacks,False,2020-04-16 18:11:56+00:00,2020-01-16 18:55:48+00:00,Abandoned,,1,0
Osamazzz/cgo_61850,False,2024-09-23 01:42:46+00:00,,YoungRepo,,0,0
Peco602/LTE-Cell-Scanner-CSI,False,2022-01-04 10:19:56+00:00,2021-10-05 13:32:48+00:00,Abandoned,,43,0
lucasvmx/evmfd,False,2022-11-06 22:41:08+00:00,2022-10-12 04:40:13+00:00,Abandoned,2022-11-06 22:41:08+00:00,1,0
FredericLeroy/libngapcodec,False,2019-06-05 09:34:15+00:00,2019-04-12 15:23:45+00:00,Abandoned,,21,0
o-ran-sc/o-du-l2,False,2024-12-10 07:33:15+00:00,2022-11-14 13:38:35+00:00,Active,,27,0
