Repository,Is Fork,Last Updated,ASN1C Source Last Updated,Status,Abandonment Date,Stars,Forks
szpajder/dumpvdl2,False,2024-10-19 19:15:24+00:00,2018-12-21 22:17:36+00:00,Active,,236,0
privat-it/cryptonite,False,2021-11-05 20:36:20+00:00,2017-02-10 15:42:07+00:00,Abandoned,2021-11-05 20:36:20+00:00,53,0
ZhaoweiTan/MI-eNB,False,2021-01-19 08:18:54+00:00,,Abandoned,,0,0
THU-WingTecher/Charon,False,2022-10-11 02:36:47+00:00,2022-10-11 02:36:47+00:00,YoungRepo,,3,0
ZDEEX-COIN/zdeex-archive,False,2024-01-09 00:33:40+00:00,2024-01-08 23:22:55+00:00,Active,,1,0
riebl/vanetza,False,2025-01-20 17:49:09+00:00,2019-09-19 21:04:48+00:00,Active,,219,0
ika-rwth-aachen/etsi_its_messages,False,2025-01-21 18:53:09+00:00,2023-03-24 12:29:34+00:00,Active,,74,0
d-chugunov/asn1cpp,False,2016-01-07 19:21:39+00:00,2015-07-27 16:15:16+00:00,Abandoned,,4,0
wineslab/libe2proto,False,2023-12-13 13:11:35+00:00,2023-05-17 17:12:59+00:00,Active,,1,0
copslock/omec_Nucleus,False,2020-08-10 18:42:47+00:00,,Abandoned,,0,0
Naimur9800/Sc7731-Sc8830-Vendor_Source,False,2018-03-01 08:40:31+00:00,2018-03-01 08:40:31+00:00,Abandoned,,9,0
quickyu/gnss_sdr,False,2021-12-29 05:03:31+00:00,2020-02-08 00:20:02+00:00,Abandoned,2021-12-29 05:03:31+00:00,8,0
nextepc/nextepc,False,2024-10-18 19:38:32+00:00,2019-04-01 21:21:55+00:00,ActiveLessThan10CommitsThisYear,,149,0
ANTLab-polimi/oran-e2sim,False,2024-07-16 18:10:50+00:00,2020-09-14 16:05:31+00:00,Active,,1,0
SatDump/SatDump,False,2025-01-11 14:26:57+00:00,2023-02-12 15:19:24+00:00,Active,,1857,0
HACHEM-K/5g_slicing,False,2024-07-11 05:43:21+00:00,2024-05-03 13:09:17+00:00,YoungRepo,,0,0
osmocom/osmo-remsim,False,2024-12-11 17:56:30+00:00,,Active,,36,0
careychow/libIEC61850,False,2014-06-10 03:43:54+00:00,2013-10-02 01:40:08+00:00,Abandoned,,74,0
fillabs/fsmsggen,False,2025-01-19 20:36:05+00:00,2024-09-11 09:07:43+00:00,Active,,1,0
proglyk/libiec61850,False,2021-03-28 18:26:49+00:00,,Abandoned,,7,0
DriveX-devs/VaN3Twin,False,2025-01-11 00:38:52+00:00,2024-09-06 11:09:10+00:00,Active,,144,0
LinuxZQ93/CMS61850,False,2023-04-12 08:45:21+00:00,,YoungRepo,,27,0
o-ran-sc/it-test,False,2025-01-14 10:19:12+00:00,2020-11-19 11:31:07+00:00,Active,,4,0
nixtec/ss7_sigtran,False,2021-08-25 07:58:12+00:00,2021-08-01 15:53:39+00:00,Abandoned,,0,0
ctt-gob-es/firma-ios,False,2025-01-22 12:40:08+00:00,2016-09-27 08:28:18+00:00,Active,,9,0
Next-Flip/Momentum-Apps,False,2025-01-22 14:56:29+00:00,2024-02-02 00:01:29+00:00,Active,,540,0
SyNSec-den/5GBaseChecker,False,2025-01-22 17:04:11+00:00,2024-08-06 03:55:30+00:00,Active,,107,0
osmocom/osmo-cbc,False,2024-12-10 15:16:49+00:00,2022-07-13 15:27:15+00:00,Active,,15,0
msepulcre/mcoVanetza,False,2024-05-23 14:07:29+00:00,2023-07-13 08:52:38+00:00,Active,,0,0
mmitss/mmitss-common,False,2019-07-16 21:07:51+00:00,2019-03-19 00:39:33+00:00,Abandoned,,2,0
nikolailv/nbu_bankid_decoder,False,2019-11-05 07:29:12+00:00,2019-11-03 10:13:41+00:00,Abandoned,,2,0
a4a881d4/oai,False,2011-11-05 10:59:30+00:00,2011-11-05 10:02:04+00:00,Abandoned,,0,0
chuanqi1997/NUC980-OpenWrt-LEDE,False,2022-05-05 08:47:21+00:00,2020-05-09 15:23:54+00:00,Abandoned,,16,0
rwl/libiec61850,False,2013-04-04 18:51:00+00:00,2013-04-04 18:51:00+00:00,Abandoned,,33,0
LABORA-INF-UFG/NetSoft2020-Tutorial4-Demo2-Exp2,False,2020-10-27 17:26:37+00:00,2020-06-17 12:44:18+00:00,Abandoned,,5,0
eisbaer/v2x-lte,False,2016-03-30 20:54:20+00:00,2016-03-30 20:02:48+00:00,Abandoned,,25,0
bhuwll2007/Hello-world,False,2020-05-02 16:11:00+00:00,2020-05-02 16:03:06+00:00,Abandoned,,5,0
NICMx/FORT-validator,False,2025-01-22 23:26:39+00:00,2024-05-23 22:16:15+00:00,Active,,57,0
onosproject/onos-cu-cp,False,2020-08-28 23:08:39+00:00,2020-08-28 23:08:39+00:00,Abandoned,,5,0
llab305/O-RAN,False,2023-09-29 04:21:03+00:00,2022-11-12 07:39:28+00:00,ActiveLessThan10CommitsThisYear,,0,0
natale-p/Flourish,False,2017-06-22 16:02:09+00:00,,Abandoned,,1,0
moonstone0514/Open_5G,False,2024-01-05 06:36:45+00:00,2024-01-04 15:38:15+00:00,YoungRepo,,0,0
usdot-jpo-codehub/MMITSS_CA_FIELD,False,2019-09-30 18:44:51+00:00,2017-07-21 06:50:58+00:00,Abandoned,,1,0
aliyun/evolved-packet-core-demo,False,2021-11-28 09:04:37+00:00,2021-11-28 09:04:37+00:00,Abandoned,,4,0
klausweinbauer/LEVEL,False,2023-09-03 10:00:09+00:00,2022-07-20 01:44:28+00:00,Active,,1,0
o-ran-sc/archived-ric-plt-resource-status-processor,False,2019-11-14 12:09:36+00:00,2019-11-12 12:22:57+00:00,Abandoned,,0,0
ssadler/libcryptoconditions,False,2020-05-27 17:15:47+00:00,2017-10-02 20:03:41+00:00,Abandoned,,8,0
l4es/IndustrialAutomation,False,2018-12-15 05:13:05+00:00,2018-08-02 04:13:56+00:00,Abandoned,,66,0
hushmirror/hush3,False,2021-12-30 03:36:02+00:00,2021-04-17 17:03:22+00:00,Abandoned,2021-12-30 03:36:02+00:00,0,0
francescoraves483/ms-van3t-CAM2CEM,False,2022-02-23 01:26:04+00:00,2021-01-14 16:45:42+00:00,Abandoned,2022-02-23 01:26:04+00:00,3,0
jl777/chips3,False,2020-10-30 14:50:15+00:00,2018-04-09 06:46:40+00:00,Abandoned,,3,0
thinkyhead/FretPetX,False,2018-09-10 01:13:13+00:00,2018-09-10 01:13:13+00:00,Abandoned,,4,0
alinihad83/asn1c,False,2017-08-24 04:36:35+00:00,2006-09-13 04:02:00+00:00,Active,,0,0
ThomasValerrianPasca/LWIP,False,2018-06-07 07:02:54+00:00,2017-08-26 18:34:36+00:00,Abandoned,,4,0
DriveX-devs/S-LDM,False,2023-02-28 18:00:46+00:00,2021-05-13 11:00:46+00:00,ActiveLessThan10CommitsThisYear,,11,0
usdot-jpo-codehub/INFLO,False,2019-12-17 19:00:42+00:00,2019-12-17 19:00:42+00:00,Abandoned,,0,0
stevenpsm/GM_SM2,False,2016-04-05 13:51:02+00:00,2016-04-05 13:17:53+00:00,Abandoned,,106,0
mz-automation/libiec61850,False,2024-12-27 18:12:34+00:00,2014-12-01 09:34:45+00:00,Active,,1090,0
mojmir-svoboda/BlackBoxTT,False,2018-01-04 20:54:42+00:00,2017-03-25 21:19:14+00:00,Abandoned,,8,0
IMTSDRLab/free5GRAN,False,2021-10-06 16:32:47+00:00,2021-05-11 15:05:00+00:00,Abandoned,2021-10-06 16:32:47+00:00,134,0
kkcloudy/daemongroup,False,2015-06-25 06:55:55+00:00,2013-05-04 11:20:30+00:00,Abandoned,,2,0
NJ-SunJiawei/oset-platform,False,2023-10-17 07:50:18+00:00,2023-02-24 11:01:31+00:00,Active,,1,0
andrewferguson/corekube-worker,False,2022-03-11 18:10:24+00:00,,Abandoned,2022-03-11 18:10:24+00:00,0,0
urbanserj/entente,False,2016-02-28 17:46:40+00:00,2016-02-28 17:46:40+00:00,Abandoned,,5,0
akorb/alias_cert_extension,False,2023-08-04 13:08:21+00:00,2023-08-04 13:08:21+00:00,YoungRepo,,0,0
usdot-fhwa-stol/Stol-scratchpad,False,2024-04-16 20:28:32+00:00,2024-04-16 20:11:48+00:00,Active,,0,0
ucoruh/asn1c-wsl-sample,False,2022-10-18 07:43:29+00:00,2021-10-09 23:27:57+00:00,Abandoned,,0,0
Davonter/openairinterface5g,False,2017-12-20 03:33:12+00:00,,Abandoned,,22,0
HackingOAI/openairinterface5g,False,2017-11-17 14:59:21+00:00,,Abandoned,,0,0
ppenumarthi/EPC-openAir4G,False,2016-01-05 19:17:58+00:00,2016-01-04 21:48:49+00:00,Abandoned,,3,0
yurialvizi/virtualization-project,False,2024-12-03 19:12:29+00:00,,YoungRepo,,0,0
saptarshithe42/digital-twin-network-security,False,2024-09-18 16:19:48+00:00,2024-09-01 15:53:39+00:00,Active,,0,0
carlesfernandez/gnss-sdr,False,2025-01-22 21:39:42+00:00,2022-04-26 19:53:35+00:00,Active,,55,0
steve123428/gnss-sdr-code,False,2025-01-22 21:39:42+00:00,2022-04-26 19:53:35+00:00,UnknownFutureRepo,,1,0
harshadms/semperfi,False,2022-04-25 00:39:22+00:00,2022-04-25 00:39:22+00:00,Abandoned,2022-04-25 00:39:22+00:00,11,0
UtahDave/opencalea,False,2007-05-07 19:11:56+00:00,2007-04-14 15:07:30+00:00,Abandoned,,2,0
francescoraves483/AIM-AutomotiveIntegratedMap,False,2024-06-16 17:37:31+00:00,2021-12-03 23:41:48+00:00,ActiveLessThan10CommitsThisYear,,2,0
web-code-agr/gnss-sdr-irnss,False,2022-01-13 11:40:02+00:00,2020-02-08 00:20:02+00:00,Abandoned,2022-01-13 11:40:02+00:00,1,0
YLChen-007/O-RAN2,False,2021-12-15 06:33:41+00:00,2021-12-15 03:37:06+00:00,Abandoned,,0,0
gitpan/Net-Radio-Location-SUPL-Test,False,2012-07-04 13:54:09+00:00,2012-07-04 13:54:09+00:00,Abandoned,,1,0
vinicius-b/PRJ2-PTC,False,2016-12-20 16:20:11+00:00,2016-12-05 13:27:53+00:00,Abandoned,,0,0
johnson-penguin/slice_enable_scheduler,False,2024-01-16 10:04:03+00:00,2023-09-29 10:24:34+00:00,Active,,0,0
hmusavi/asn1_codec,False,2017-08-10 16:20:04+00:00,2017-08-08 16:15:12+00:00,Abandoned,,2,0
ar-in0/pyramis-utils,False,2024-07-04 20:04:46+00:00,2024-06-03 16:03:12+00:00,YoungRepo,,0,0
CriXson/Open5GS-EAP-TLS,False,2023-09-20 14:08:44+00:00,2023-04-21 10:27:48+00:00,Active,,3,0
akhilreddynalla/open5g,False,2022-12-15 05:23:18+00:00,2019-04-27 14:54:30+00:00,Abandoned,2022-12-15 05:23:18+00:00,0,0
thomastieyi/vonr,False,2023-09-24 09:40:22+00:00,2019-04-27 14:54:30+00:00,Active,,0,0
12019/vendor_st-ericsson,False,2014-03-03 04:23:29+00:00,2014-03-02 17:51:54+00:00,Abandoned,,0,0
CustomROMs/android_vendor,False,2020-03-10 11:36:46+00:00,2014-05-04 17:00:40+00:00,Abandoned,,0,0
goodsollee/flexric,False,2023-10-16 04:20:09+00:00,2023-06-23 12:21:32+00:00,Active,,2,0
harryzwh/flexric,False,2024-06-09 09:22:36+00:00,2023-12-12 13:28:39+00:00,Active,,0,0
yi-shengfeng/flexric,False,2025-01-15 06:39:03+00:00,2023-06-23 12:21:32+00:00,UnknownFutureRepo,,0,0
stonegen/SEC-EdgeWarp,False,2024-09-06 11:27:44+00:00,2023-02-13 16:57:20+00:00,Active,,0,0
andrewferguson/corekube5g-worker,False,2024-01-27 23:49:35+00:00,,ActiveLessThan10CommitsThisYear,,1,0
gaiasismondo/stack_attacker,False,2024-11-06 12:04:29+00:00,2024-04-25 09:41:04+00:00,Active,,0,0
jiajw0426/easyscada,False,2013-05-16 08:56:42+00:00,2013-05-16 08:56:42+00:00,Abandoned,,11,0
usdot-jpo-codehub/MMITSS_AZ_FIELD,False,2016-08-23 23:35:33+00:00,2016-08-23 23:35:33+00:00,Abandoned,,0,0
usdot-jpo-codehub/RESCUME,False,2019-12-17 19:01:45+00:00,2019-12-17 19:01:45+00:00,Abandoned,,0,0
usdot-jpo-codehub/archive,False,2019-12-18 15:57:51+00:00,2017-08-04 16:26:15+00:00,Abandoned,,0,0
lfelipecunha/free5gc-Docker,False,2020-07-21 00:51:10+00:00,2019-10-14 16:01:53+00:00,Abandoned,,6,0
LABORA-INF-UFG/NetSoft2020-Tutorial4-Demo3-Exp1,False,2020-10-27 21:48:01+00:00,2020-06-21 19:44:15+00:00,Abandoned,,0,0
LABORA-INF-UFG/SBRC2020-Minicurso3-Demo2-Exp2,False,2020-11-14 19:02:49+00:00,2020-06-17 12:44:18+00:00,Abandoned,,0,0
LABORA-INF-UFG/SBRC2020-Minicurso3-Demo3-Exp1,False,2020-11-11 15:19:00+00:00,2020-06-21 19:44:15+00:00,Abandoned,,0,0
usdot-jpo-codehub/V2I-Hub,False,2020-03-27 13:23:11+00:00,2017-12-21 02:13:27+00:00,Abandoned,,3,0
SaikrishnaBairamoni/V2X-Hub,False,2025-01-22 19:30:33+00:00,2024-02-20 19:25:28+00:00,Active,,0,0
MatrixManAtYrService/v2i-unofficial,False,2017-09-06 23:14:11+00:00,2017-04-23 19:35:01+00:00,Abandoned,,0,0
LaughingBlue/OpenAirInterface5G,False,2019-06-13 19:28:20+00:00,2019-05-30 09:44:32+00:00,Abandoned,,4,0
chenjinice/qt,False,2024-03-21 08:29:23+00:00,2024-03-21 08:28:10+00:00,ActiveLessThan10CommitsThisYear,,0,0
mr-ytseng/openairinterface5g,False,2019-04-19 15:37:55+00:00,2019-04-19 15:37:55+00:00,Abandoned,,0,0
rightbear/OAI_CU,False,2024-03-31 16:45:03+00:00,2024-03-31 16:45:03+00:00,YoungRepo,,0,0
OpreaCristian2002/reassembly-policies-5g-using-ipv6,False,2025-01-22 14:10:54+00:00,2025-01-22 14:10:54+00:00,YoungRepo,,0,0
copslock/o-ran_asn1c,False,2019-09-03 07:41:01+00:00,2019-08-08 13:58:29+00:00,Abandoned,,4,0
LABORA-INF-UFG/e2sim,False,2023-05-13 16:28:15+00:00,2022-10-10 14:55:22+00:00,ActiveLessThan10CommitsThisYear,,0,0
nbelchug/open5gs,False,2024-02-04 11:02:52+00:00,2024-02-01 13:55:00+00:00,YoungRepo,,0,0
Nanou21/Open5gs_Identity,False,2024-09-05 19:22:26+00:00,2019-04-27 14:54:30+00:00,Active,,1,0
no-tech-no/Communication_Project,False,2024-06-14 16:45:44+00:00,2024-06-14 16:37:06+00:00,Active,,0,0
Calctopia-OpenSource/cothority,False,2022-06-07 14:43:04+00:00,2022-06-07 14:43:04+00:00,Abandoned,2022-06-07 14:43:04+00:00,2,0
robpegurri/ms-van3t-rt,False,2024-12-15 18:43:10+00:00,2024-11-11 15:28:35+00:00,YoungRepo,,4,0
vandit86/ns-3,False,2023-02-27 11:12:40+00:00,2021-08-25 13:39:13+00:00,ActiveLessThan10CommitsThisYear,,0,0
MiguelVerdi/NS3-codes-.,False,2023-07-24 17:34:28+00:00,2021-03-03 16:58:03+00:00,Active,,0,0
zhufengGNSS/spree-gnss-sdr_fork,False,2016-09-06 08:35:01+00:00,2013-03-14 18:38:46+00:00,Abandoned,,5,0
jspring/MMITSS,False,2015-04-22 03:54:35+00:00,2015-04-22 03:43:59+00:00,Abandoned,,2,0
polalgen/asn1-go,False,2021-11-16 12:01:16+00:00,2021-11-16 10:13:33+00:00,Abandoned,,1,0
basiljoseph/3GPP_LTE_RRC_Decoder,False,2020-09-13 13:10:29+00:00,2020-09-13 13:10:29+00:00,Abandoned,,0,0
sreeharsha-alluri/5g-components,False,2022-12-09 08:45:04+00:00,2022-12-09 08:45:04+00:00,Abandoned,,0,0
TJKkking/osm_collection,False,2024-01-15 06:35:50+00:00,2024-01-15 06:35:50+00:00,YoungRepo,,0,0
RohanshuSharma/OpenAirInterface_5gAKA,False,2023-08-20 18:08:14+00:00,2023-08-20 18:08:14+00:00,YoungRepo,,0,0
HarunTeper/artery,False,2021-08-26 13:30:11+00:00,2021-08-19 18:35:03+00:00,Abandoned,,0,0
AlanQuatermain/mac-app-store-validation-sample,False,2011-01-30 17:56:37+00:00,2011-01-07 04:58:17+00:00,Abandoned,,107,0
adirkuhn/libasn1,False,2015-03-25 00:24:33+00:00,2014-09-16 18:50:25+00:00,Abandoned,,0,0
josecohenca/xmlconvertsql,False,2011-05-30 12:53:29+00:00,2011-01-08 19:55:21+00:00,Abandoned,,2,0
riclolsen/json-scada,False,2025-01-22 23:05:09+00:00,2023-03-16 19:59:25+00:00,Active,,382,0
zjcszn/embeded-lib,False,2024-12-28 13:58:07+00:00,,Active,,14,0
sidsag1/cucp5g,False,2022-09-25 17:38:19+00:00,2022-09-25 17:38:19+00:00,Abandoned,,0,0
PedoneMatteo/Generation-of-V2X-CAM-messages---PQC-compliant,False,2025-01-17 15:15:36+00:00,2024-08-06 06:22:19+00:00,Active,,0,0
ganeshg87/utils,False,2023-10-30 13:02:06+00:00,2023-10-30 12:43:00+00:00,YoungRepo,,0,0
karenCaloyannis/mimo-free5GRAN,False,2024-10-16 10:56:05+00:00,2021-05-11 15:05:00+00:00,Active,,1,0
hkwk/nextepc,False,2024-04-22 12:06:20+00:00,2019-04-01 21:21:55+00:00,Active,,0,0
Luke777111/Luke,False,2024-12-02 15:35:53+00:00,2023-12-02 21:04:43+00:00,Active,,1,0
RootLeo00/bp3-reference-implementation,False,2025-01-08 13:02:08+00:00,2024-10-31 17:51:06+00:00,Active,,0,0
ZDEEX/zdeex-archive,False,2024-01-09 02:46:07+00:00,2024-01-06 13:21:17+00:00,Active,,0,0
JustZhenya/SatDump-fork,False,2025-01-11 14:26:57+00:00,2023-02-12 15:19:24+00:00,UnknownFutureRepo,,0,0
pintauroo/5G_LMF,False,2022-10-18 23:51:25+00:00,2022-10-15 18:13:23+00:00,Abandoned,,10,0
uw-ictd/dAuth,False,2023-06-07 18:58:53+00:00,2021-10-26 00:15:53+00:00,Active,,9,0
vlm/ldap-server-example,False,2011-04-06 07:40:53+00:00,2011-04-05 12:57:53+00:00,Abandoned,,12,0
RohanshuSharma/Updated_5G_AKA,False,2023-11-03 14:16:21+00:00,2023-10-05 23:16:36+00:00,YoungRepo,,1,0
vlm/dump-ios-mobileprovision,False,2017-02-17 09:26:13+00:00,,Abandoned,,24,0
even-cheng/ECSigneriOS,False,2022-07-18 01:10:06+00:00,,Abandoned,2022-07-18 01:10:06+00:00,46,0
apple-sign/ECSigneriOS,False,2021-04-19 10:34:39+00:00,,Abandoned,2021-04-19 10:34:39+00:00,12,0
